HouseWeb,Address,Price,PropertyType,Bedroom,BedroomPlus,Bathroom,SquareFootage,Style,DatePosted,BuildingAge,City,Region,HouseAddress,Lat_Long
https://www.zolo.ca/markham-real-estate/91-william-bartlett-drive,"91 William Bartlett Drive, Markham, Berczy",2580000,Detached,5,,4,3000-3500,2-Storey,2024-01-05,0,markham,york region,"91 william bartlett drive, markham","(43.88556820055729, -79.30256610703773)"
https://www.zolo.ca/markham-real-estate/68-oakford-drive,"68 Oakford Drive, Markham, Cachet",1328000,Semi-Detached,3,,3,1500-2000,2-Storey,2024-01-05,0,markham,york region,"68 oakford drive, markham","(43.88052858127307, -79.37210866220859)"
https://www.zolo.ca/markham-real-estate/233-south-park-road/901,"901 - 233 South Park Road, Markham Commerce, Valley",619000,Condo Apt,1,,1,600-699,Apartment,2024-01-05,0,markham,york region,"233 south park road/901, markham","(43.83821078289216, -79.39204711438718)"
https://www.zolo.ca/markham-real-estate/16-elgin-street/101,"101 - 16 Elgin Street, Markham, Thornhill",845000,Condo Apt,3,0,2,1200-1399,2-Storey,2024-01-05,0,markham,york region,"16 elgin street/101, markham","(43.812179818661974, -79.42242220948563)"
https://www.zolo.ca/markham-real-estate/99-cornell-rouge-boulevard-east/unit-5,"Unit 5 - 99 Cornell Rouge Boulevard EMarkham, Cornell",1449000,Att/Row/Twnhouse,4,,4,2000-2500,3-Storey,2024-01-04,0,markham,york region,"99 cornell rouge boulevard east/unit 5, markham","(43.883935405818704, -79.21728669629306)"
https://www.zolo.ca/markham-real-estate/26-liebeck-crescent,"26 Liebeck Crescent, Markham, Unionville",,Detached,5,,6,3500-5000,2-Storey,2024-01-04,0,markham,york region,"26 liebeck crescent, markham","(43.86841539008003, -79.33408013513967)"
https://www.zolo.ca/markham-real-estate/47-washington-street,"47 Washington Street, Markham Old Markham, Village",2100000,Detached,2,,2,1500-2000,2-Storey,2024-01-04,0,markham,york region,"47 washington street, markham","(43.877810288163744, -79.25940399954999)"
https://www.zolo.ca/markham-real-estate/15-water-walk-drive/2708,"2708 - 15 Water Walk Drive, Markham, Unionville",1050000,Condo Apt,2,,2,1000-1199,Apartment,2024-01-04,5,markham,york region,"15 water walk drive/2708, markham","(43.85603448089958, -79.3280238748193)"
https://www.zolo.ca/markham-real-estate/147-royal-orchard-boulevard,"147 Royal Orchard Boulevard, Markham Royal, Orchard",3699800,Detached,4,3,8,3000-3500,Bungaloft,2024-01-04,0,markham,york region,"147 royal orchard boulevard, markham","(43.8240089890659, -79.4108276904611)"
https://www.zolo.ca/markham-real-estate/1-grandview-avenue/ph01,"Ph01 - 1 Grandview Avenue, Markham, Grandview",1899000,Condo Apt,2,1,3,2000-2249,Apartment,2024-01-03,5,markham,york region,"1 grandview avenue/ph01, markham","(43.80082844355419, -79.42073024617882)"
https://www.zolo.ca/markham-real-estate/23-cox-boulevard/1158,"1158 - 23 Cox Boulevard, Markham, Unionville",815000,Condo Apt,2,1,2,900-999,Apartment,2024-01-03,15,markham,york region,"23 cox boulevard/1158, markham","(43.85411728818627, -79.34094759604938)"
